Name,Type
Tadham Moor,Arable
SMD_T8,Arable
SMD_Q1,Arable
SMD_T5,Forest
SMD_T10,Forest
SMD_T9,Arable
SMD_B2,Forest
SMD_T2,Forest
SMD_T11,Forest
SMD_350,Arable
SMD_Q3,Forest
SMD_B3,Arable
SMD_F3,Forest
SMD_B5,Forest
SMD_K5,Forest
SMD_L1,Arable
SMD_4158,Forest
SMD_4258,Forest
SMD_I1,Arable
SMD_D2,Forest
SMD_Q7,Forest
SMD_Q8,Forest
SMD_E1,Arable
Forsinard,Forest
Sheepdrove_Glebe
SMD_T3,Forest
SMD_107,Arable
SMD_115,Forest
SMD_B1,Forest
SMD_405,Forest
SMD_433,Forest
SMD_K3,Forest
SMD_T18,Forest
SMD_2350,Forest
SMD_2498,Forest
SMD_H1,Arable
SMD_H3,Forest
SMD_M3_2,Forest
SMD_6199,Arable
SMD_6299,Wetland
SMD_I3,Wetland
SMD_6998,Wetland
SMD_N1,Wetland
SMD_N5,Wetland
SMD_8499,Arable
SMD_N13,Wetland
SMD_N15,Wetland
SMD_9398,Wetland
SMD_F6,Wetland
SMD_F7,Wetland
SMD_F4,Arable
SMD_E2,Arable
SMD_B7,Arable
Example,Arable
Wicken Fen,Arable
Auchencorth Moss,Wetland
Sheepdrove_W11A,Wetland
Sheepdrove_Weather_Station,Wetland
SMD_T19,Forest
SMD_B4,Wetland
SMD_J1,Arable
SMD_2358,Forest
SMD_2399,Forest
SMD_8199,Arable
SMD_8299,Forest
SMD_8399,Wetland
SMD_N14,Wetland
SMD_N11,Arable
SMD_9599,Wetland
SMD_Q6,Wetland
SMD_Q9,Arable
SMD_N10,Forest
SMD_N4,Forest
SMD_N8,Forest
SMD_T13,Forest
Les Landes,Arable
Easter Bush,Forest
Grimsbury Wood,Arable
Sheepdrove_W13,Forest
Sheepdrove_W16,Arable
Sheepdrove_LAS,Forest
BrattlebySRCWillow,Forest
SMD_106,Arable,Forest
SMD_T21,Wetland
SMD_T7,Arable
SMD_Q4,Wetland
SMD_533,Arable
SMD_T17,Wetland
SMD_F8,Wetland
SMD_K6,Wetland
SMD_S2,Arable
SMD_E4,Forest
SMD_E6,Forest
SMD_P8,Forest
SMD_P7,Arable
SMD_P3,Forest
SMD_L2,Arable
SMD_4258,Forest
SMD_M4_1,Forest
SMD_M4_2,Forest
SMD_M6_2,Forest
SMD_M5_1,Arable
SMD_M5_2,Wetland
SMD_M3_1,Wetland
SMD_M2_2,Arable
SMD_G1,Wetland
SMD_G2,Wetland
SMD_G3,Wetland
SMD_6898,Arable
SMD_R1,Wetland
SMD_C1,Wetland
SMD_D6,Wetland
SMD_D1,Arable
SMD_N7,Arable
SMD_N9,Arable
SMD_8599,Arable
SMD_N12,Arable
SMD_9398,Arable
SMD_K1,Arable
SMD_F5,Arable
SMD_B6,Wetland
SMD_B8,Arable
SMD_N6,Wetland
PL_Sheepdrove,Forest
Hazel_test,Forest
Monks Wood,Forest
Watchet,Forest
SMD_233,Forest
SMD_Q2,Forest
SMD_F2,Forest
SMD_315,Forest
SMD_401,Arable
SMD_T12,Arable
SMD_T20,Arable
SMD_F9,Arable
SMD_550,Forest
SMD_Q5,Forest
SMD_T14,Forest
SMD_E3,Forest
SMD_2258,Forest
SMD_E5,Forest
SMD_J2,Forest
SMD_2599,Forest
SMD_2790,Forest
SMD_H2,Wetland
SMD_H4,Wetland
SMD_T15,Forest
SMD_O1,Wetland
SMD_P1,Forest
SMD_P2,Wetland
SMD_P4,Forest
SMD_P5,Wetland
SMD_P6,Forest
SMD_S1,Forest
SMD_4358,Arable
SMD_4458,Wetland
SMD_5099,Arable
SMD_M1_1,Arable
SMD_M1_2,Forest
SMD_M2_1,Forest
SMD_G4,Arable
SMD_I2,Arable
SMD_7098,Wetland
SMD_7198,Wetland
SMD_7298,Wetland
SMD_D4,Arable
SMD_C2,Arable
SMD_N3,Arable
SMD_8099,Wetland
SMD_8699,Wetland
SMD_8799,Wetland
SMD_N16,Arable
SMD_9298,Forest
SMD_9901,Arable
SMD_9950,Forest
SMD_A,Forest
SMD_K2,Forest
SMD_K4,Wetland
SMD_F10,Wetland
SMD_M6_1,Arable
SMD_F1,Arable
SMD_N2,Arable
SMD_T1,Wetland
SMD_T4,Wetland
SMD_T6,Wetland
